Name,NameASCII,Season,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,AVG,OBP,SLG,OPS,wOBA,BABIP,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,HBP,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,composite_score,age_multiplier,adjusted_composite,player_type
Sung-Mun Song 송성문,Sung-Mun Song,2025,Heroes (KBO),28.0,646,148.07246625610986,0.105263157,0.148606811,0.214285714,6.245619759446603,0.31533101,0.386996904,0.529616724,0.916613628,0.4097757006584203,0.34065934,144,574,181,37,4,26,103,90,68,96,25,2,1,1.7934029555983455,0.5402243333453656,-0.9334953615229373,1.5629328368615099,1.2014893842575285,1.2458367800423404,0.9,1.1212531020381065,KBO_to_MLB
Jung Hoo Lee 이정후,Jung Hoo Lee,2023,Heroes (KBO),24.0,387,138.88047115340487,0.126614987,0.059431524,0.136363636,4.134809795843337,0.318181818,0.405684754,0.454545454,0.860230208,0.3959305215823023,0.323529411,86,330,105,23,2,6,50,45,49,23,6,3,3,1.4658397146479096,1.2627479187597002,-1.9235964478056264,0.6241512500056726,0.11137430934758419,1.179946042191035,1.05,1.2389433443005868,KBO_to_MLB
Hyeseong Kim 김혜성,Hyeseong Kim,2024,Heroes (KBO),25.0,567,118.0446718514874,0.082892416,0.109347442,0.131630648,6.555736898028599,0.326129666,0.382716049,0.457760314,0.840476363,0.378426294833158,0.349887133,127,509,166,26,4,11,90,75,47,62,30,6,4,0.8176111556325241,-0.25228606309256896,-1.2998830913702097,0.018638121504818837,1.2758428379455955,0.5085062027176698,1.0,0.5085062027176698,KBO_to_MLB
ByungHo Park 박병호,ByungHo Park,2025,Lions (KBO),38.0,232,108.12221455993291,0.11637931,0.301724137,0.255102041,0.8658963525000001,0.198979591,0.314655172,0.454081632,0.768736804,0.3486771496205494,0.21238938,77,196,39,5,0,15,26,33,27,70,0,0,7,0.46421595091748663,0.8884750964423225,1.5588820796791953,2.231385160646563,-1.5893572660439952,0.41489255295886046,0.9,0.3734032976629744,KBO_to_MLB
Hyun Soo Kim 김현수,Hyun Soo Kim,2026,Wiz (KBO),38.0,508,96.59136662880891,0.088582677,0.116141732,0.116740088,1.4789550987144175,0.275330396,0.344488188,0.392070484,0.736558672,0.3404327775315037,0.297435897,114,454,125,26,0,9,52,75,45,59,0,2,5,0.0811690996379077,-0.12335512757832076,-1.3429521870981551,-0.160224079577425,-1.0659679231259978,0.0563131678334306,0.9,0.05068185105008754,KBO_to_MLB
