Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,player_type
2023,Chan-ho Park 박찬호,Tigers (KBO),28.0,130,452,507,136,111,18,4,3,73,52,40,0,56,2,6,7,13,30,8,0.300884955,Chan-ho Park,sa3012474,,0.078895463,0.110453648,0.714285714,0.356,0.378318584,0.734318584,0.077433629,6.649834375062261,0.333333333,2.1904970405157655,63.76484992005552,4.057325322410709,0.3467175333499908,106.7953333348721,KBO_only
2023,Chang-jin Lee 이창진,Tigers (KBO),32.0,104,244,284,66,48,11,3,4,35,29,34,1,44,2,2,2,5,9,2,0.270491803,Chang-jin Lee,sa3012466,,0.119718309,0.154929577,0.772727272,0.361702127,0.389344262,0.751046389,0.118852459,6.091263105079992,0.313131313,0.7137703273911029,37.545105709562385,4.099470629224856,0.355094954000249,112.25711701804372,KBO_only
2023,Chang-ki Hong 홍창기,Twins (KBO),29.0,140,522,638,174,137,34,2,1,109,65,85,3,82,22,6,3,6,23,22,0.333333333,Chang-ki Hong,sa3012570,,0.13322884,0.128526645,1.036585365,0.442519685,0.411877394,0.854397079,0.078544061,4.846206968757162,0.388764044,-5.338474204996601,110.5901726437575,35.45526003370348,0.4086740371547168,147.18879519793188,KBO_only
2023,Chi-hong An 안치홍,Giants (KBO),32.0,121,425,494,124,95,20,1,8,57,63,49,3,53,10,5,5,14,3,3,0.291764705,Chi-hong An,sa3013286,,0.099190283,0.107287449,0.924528301,0.374233128,0.4,0.774233128,0.108235295,2.7850966569153446,0.314363143,-1.1086100002285093,69.00351756086545,10.826955132391015,0.3648399477632938,118.61051028187217,KBO_only
2023,Chi-young An 안치영,Wiz (KBO),25.0,76,124,136,36,32,3,1,0,20,9,6,0,35,2,1,3,1,7,1,0.29032258,Chi-young An,sa3012625,,0.044117647,0.257352941,0.171428571,0.330827067,0.330645161,0.661472228,0.040322581,7.495437571604476,0.4,0.8613718952983618,13.814992074071805,-2.2012275418644753,0.3152141884753578,86.25626024961448,KBO_only
2023,Dae-han Kim 김대한,Bears (KBO),22.0,33,81,89,16,11,3,1,1,10,7,7,0,21,1,0,0,0,1,3,0.197530864,Dae-han Kim,sa3012718,,0.078651685,0.235955056,0.333333333,0.269662921,0.296296296,0.565959217,0.098765432,5.6154057555036845,0.254237288,-1.113778280792758,6.093647823733884,-4.387554719047946,0.2720869592066561,58.13882327777784,KBO_only
2023,Dae-in Hwang 황대인,Tigers (KBO),27.0,60,174,199,37,27,5,0,5,19,26,18,2,50,4,3,0,6,0,0,0.212643678,Dae-in Hwang,sa3012545,,0.090452261,0.251256281,0.36,0.296482412,0.327586206,0.624068618,0.114942528,1.26785714,0.262295081,-0.1405840234365314,17.00565954956702,-6.429838270810328,0.2942121652177142,72.56367959369938,KBO_only
2023,Do Yeong Kim 김도영,Tigers (KBO),19.0,84,340,385,103,71,20,5,7,72,47,38,1,62,1,4,2,14,25,4,0.302941176,Do Yeong Kim,sa3018059,,0.098701298,0.161038961,0.612903225,0.37075718,0.452941176,0.823698356,0.15,8.268534616093289,0.349090909,2.998036193428561,58.577490607068086,13.237457135483766,0.3810761726963582,129.19595801308793,KBO_only
2023,Do-hwan Hur 허도환,Twins (KBO),38.0,47,64,81,9,4,3,0,2,8,10,3,0,20,6,1,7,3,0,0,0.140625,Do-hwan Hur,sa3013160,,0.037037037,0.24691358,0.15,0.243243243,0.28125,0.524493243,0.140625,2.64285714,0.162790697,-0.0388849426526576,4.5776646792643705,-4.961407297874149,0.256518253603497,47.988574677235576,KBO_only
2023,Do-yun Lee 이도윤,Eagles (KBO),26.0,106,309,346,78,62,13,2,1,36,13,18,1,55,4,0,15,6,10,3,0.252427184,Do-yun Lee,sa3012554,,0.052023121,0.158959537,0.327272727,0.302114803,0.317152103,0.619266906,0.064724919,5.559895297564205,0.304347826,0.4947881822008639,29.638118420699342,-11.10902854337384,0.294477504491806,72.7366714701064,KBO_only
2023,Dong Hee Yoon 윤동희,Giants (KBO),19.0,107,387,423,111,90,18,1,2,45,41,28,0,69,1,5,2,10,3,6,0.286821705,Dong Hee Yoon,sa3018265,,0.066193853,0.163120567,0.405797101,0.332541567,0.354005167,0.686546734,0.067183462,2.8230087789982035,0.339563862,-2.2698396628256887,45.98610727180525,-3.829046386584794,0.3245049203942903,92.31349076459207,KBO_only
2023,Dong Heon Kim 김동헌,Heroes (KBO),18.0,102,211,242,51,43,4,2,2,22,17,17,0,55,8,3,3,7,0,0,0.241706161,Dong Heon Kim,sa3020913,,0.070247933,0.227272727,0.309090909,0.317991631,0.308056872,0.626048503,0.066350711,2.91179653375,0.31210191,-0.2033981615677476,22.358181596333427,-6.141268014376717,0.3032427066040837,78.45127503069807,KBO_only
2023,Dong Jin Kim 김동진,Lions (KBO),26.0,44,122,137,32,25,7,0,0,14,8,9,0,26,1,2,3,4,3,0,0.262295081,Dong Jin Kim,sa3018224,,0.06569343,0.189781021,0.346153846,0.313432835,0.319672131,0.633104966,0.05737705,4.576905259019822,0.326530612,0.4953097787220031,12.48787476207779,-3.6461111745639023,0.3016318474242936,77.4010514891843,KBO_only
2023,Dong-Yub Kim 김동엽,Lions (KBO),32.0,69,165,182,42,30,7,0,5,20,18,13,0,29,2,2,0,8,1,1,0.254545454,Dong-Yub Kim,sa598813,,0.071428571,0.159340659,0.448275862,0.313186813,0.387878787,0.7010656,0.133333333,2.3363214024115364,0.278195488,-0.3535838697571307,20.266334207321876,-1.167136161063438,0.3279424044457111,94.5546094915876,KBO_only
2023,Dong-hui Han 한동희,Giants (KBO),24.0,108,319,353,71,55,11,0,5,30,32,26,0,58,1,5,2,16,1,2,0.222570532,Dong-hui Han,sa3012686,,0.07365439,0.164305949,0.448275862,0.279202279,0.304075235,0.583277514,0.081504703,1.7606913115352687,0.252873563,-0.8832385470159352,25.72594445527354,-15.845566753737534,0.2778307795524597,61.88359216947871,KBO_only
2023,Dong-won Park 박동원,Twins (KBO),33.0,129,405,477,102,64,17,1,20,54,75,49,3,90,7,8,8,7,0,1,0.251851851,Dong-won Park,sa3013271,,0.102725366,0.188679245,0.544444444,0.336886993,0.44691358,0.783800573,0.195061729,1.8331091387084275,0.270627062,-0.7689466320443898,64.7440780449414,8.569543068459007,0.3596935035588915,115.25520962843156,KBO_only
2023,Euiji Yang 양의지,Bears (KBO),36.0,129,439,510,134,94,23,0,17,56,68,57,8,56,11,3,0,20,7,0,0.305239179,Euiji Yang,sa3012037,,0.111764705,0.109803921,1.017857142,0.396078431,0.4738041,0.869882531,0.168564921,3.2320785709097684,0.31707317,0.9393630078993738,85.26128910728264,25.200465547521592,0.4006512832356639,141.95824175212468,KBO_only
2023,Eun-seong Chae 채은성,Eagles (KBO),33.0,137,521,596,137,97,17,0,23,71,84,52,8,102,20,3,0,16,0,0,0.262955854,Eun-seong Chae,sa3013253,,0.087248322,0.171140939,0.509803921,0.35067114,0.428023032,0.778694172,0.165067178,1.3250860525,0.285714285,-0.4815750590059906,81.4183915066429,11.229664366216268,0.3608347191697075,115.99924207736248,KBO_only
2023,Eun-won Jung 정은원,Eagles (KBO),23.0,122,388,459,86,72,12,0,2,50,30,62,1,73,3,1,5,4,6,3,0.221649484,Eun-won Jung,sa3012695,,0.135076252,0.159041394,0.849315068,0.332599118,0.268041237,0.600640355,0.046391753,3.2446050314549133,0.267515923,-0.4637427497655153,41.321746814250695,-12.73299438953425,0.3001642964007312,76.44425982629129,KBO_only
2023,Geonchang Seo 서건창,Twins (KBO),33.0,43,107,123,22,15,5,2,0,14,12,10,0,14,0,3,3,7,3,3,0.205607476,Geonchang Seo,sa3012058,,0.081300813,0.113821138,0.714285714,0.266666666,0.289719626,0.556386292,0.08411215,6.54007979753991,0.229166666,-0.7317251714412123,7.629689789644076,-6.855567657121823,0.2637019673983256,52.67210346577268,KBO_only
2023,Guillermo Heredia 에레디아,Landers (KBO),32.0,122,474,524,153,112,29,0,12,76,76,39,4,75,9,1,1,13,12,8,0.32278481,Guillermo Heredia,18721,,0.07442748,0.14312977,0.52,0.384321223,0.459915611,0.844236834,0.137130801,3.6963343834535536,0.363402061,-1.4184764614328742,84.07922095378574,22.36966890414889,0.3918957303714201,136.2499291619482,KBO_only
2023,Gweon-su An 안권수,Giants (KBO),30.0,95,268,309,72,63,6,1,2,42,29,30,1,40,1,3,7,4,15,7,0.268656716,Gweon-su An,sa3014276,,0.097087378,0.129449838,0.75,0.341059602,0.320895522,0.661955124,0.052238806,5.59286235520433,0.305676855,-0.2110518899280578,32.14103035604695,-4.248762741925921,0.3183862010505904,88.32430090908485,KBO_only
2023,Gye-beom Park 박계범,Bears (KBO),27.0,78,169,194,37,29,6,0,2,18,15,15,1,44,2,3,5,4,2,2,0.218934911,Gye-beom Park,sa3012458,,0.077319587,0.226804123,0.34090909,0.285714285,0.289940828,0.575655113,0.071005917,2.8227682211402767,0.277777777,-0.5725660149473697,13.692362543983911,-9.15430367286637,0.2748366974769755,59.931555939156134,KBO_only
2023,Hae-min Park 박해민,Twins (KBO),33.0,143,483,556,138,116,14,2,6,80,59,45,0,74,3,1,24,7,26,12,0.285714285,Hae-min Park,sa3012304,,0.080935251,0.133093525,0.608108108,0.34962406,0.360248447,0.709872507,0.074534162,5.707756701234104,0.326732673,-0.3183342078700661,66.6217760031752,1.1437016909651063,0.3389738040759151,101.74669414606142,KBO_only
2023,Hak-Ju Lee 이학주,Giants (KBO),32.0,104,110,122,23,18,2,0,3,22,13,11,0,31,1,0,0,2,4,1,0.209090909,Hak-Ju Lee,sa502536,,0.090163934,0.25409836,0.354838709,0.286885245,0.309090909,0.595976154,0.1,5.571434499729643,0.263157894,0.2912833807058632,9.812337730584932,-4.5551533954755525,0.2876653944859739,68.29541528504456,KBO_only
2023,Han Byul Kim 김한별,Dinos (KBO),22.0,79,97,105,21,20,0,1,0,8,4,4,0,23,2,0,2,6,0,3,0.216494845,Han Byul Kim,sa3018055,,0.038095238,0.219047619,0.173913043,0.262135922,0.237113402,0.499249324,0.020618557,4.387690680690263,0.283783783,-1.3347163298167288,4.898384126322132,-7.4670795477463185,0.2436722447571245,39.61342862212687,KBO_only
2023,Han-wool Kang 강한울,Lions (KBO),31.0,72,212,240,46,37,7,2,0,30,10,20,1,54,0,2,6,4,1,3,0.216981132,Han-wool Kang,sa3012471,,0.083333333,0.225,0.37037037,0.282051282,0.268867924,0.550919206,0.051886792,4.662003628260745,0.2875,-1.2244508098810911,15.152414891468911,-13.111502077830403,0.2651412366797484,53.61045642728036,KBO_only
2023,Ho-cheol Seo 서호철,Dinos (KBO),26.0,114,397,435,113,88,17,3,5,50,41,20,0,51,8,4,6,9,4,5,0.28463476,Ho-cheol Seo,sa3014321,,0.045977011,0.117241379,0.392156862,0.328671328,0.380352644,0.709023972,0.095717884,4.046853932389492,0.313043478,-1.6418840633705258,50.029451153304464,-1.1988983535505435,0.3327050661985135,97.6596974817818,KBO_only
2023,Ho-jae Kim 김호재,Lions (KBO),28.0,75,116,127,25,18,7,0,0,6,9,6,0,17,0,0,5,4,2,0,0.215517241,Ho-jae Kim,sa3012454,,0.047244094,0.133858267,0.352941176,0.25409836,0.275862068,0.529960428,0.060344827,3.399767272841678,0.252525252,0.3282124195247888,6.784637057392727,-8.171685672194828,0.2524910852557323,45.36300252448366,KBO_only
2023,Ho-ryung Kim 김호령,Tigers (KBO),31.0,76,95,107,17,10,7,0,0,16,6,8,0,38,1,0,3,1,1,0,0.178947368,Ho-ryung Kim,sa3012550,,0.074766355,0.355140186,0.210526315,0.25,0.252631578,0.502631578,0.07368421,4.755433521581324,0.298245614,0.1431681637186557,5.123083952587522,-7.4779123628917565,0.2452716454863548,40.656181656796754,KBO_only
2023,Ho-yeon Lee 이호연,Wiz (KBO),28.0,85,212,234,59,50,5,1,3,28,17,16,0,41,4,1,1,6,4,2,0.278301886,Ho-yeon Lee,sa3014412,,0.068376068,0.175213675,0.390243902,0.339055793,0.353773584,0.692829377,0.075471698,4.5830189554773675,0.331360946,-0.2473447448574006,26.550711132008548,-1.0066079130582857,0.3306919571667782,96.347221181378,KBO_only
