Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Aaron Altherr 알테어","Dinos (KBO)","—",565,0.100884955,0.276106194,0.365384615,0.272357723,0.357522123,0.514227642,0.871749765,0.241869919,5.512321220283612,0.330097087,1.6321942132199183,92.26741026778105,22.862733264158997,0.39506722978757924,132.94119971621777,"Aaron Altherr","11270",
"Dixon Machado 마차도","Giants (KBO)","—",539,0.107606679,0.120593692,0.892307692,0.278969957,0.358878504,0.360515021,0.719393525,0.081545064,4.326183018351202,0.310173697,-0.7885864344425499,65.84316479982373,-0.36766866026882555,0.343128428142169,99.44470014791398,"Dixon Machado","11472",
"Henry Ramos 라모스","- - -","—",428,0.072429906,0.18224299,0.397435897,0.295039164,0.349765258,0.46997389,0.819739148,0.174934726,4.757511120924537,0.33444816,-0.7120774227660149,62.942241135996284,6.581449870031782,0.3643678691807915,111.34024586634564,"Henry Ramos","11481",
"Sócrates Brito 소크라테스","- - -","—",1764,0.071995464,0.142857142,0.503968253,0.301921884,0.352040816,0.491010539,0.843051355,0.189088655,5.347975885723767,0.32243346,-0.5286221706774086,270.80322440376733,53.26055093517759,0.3771556279702818,124.6936702383113,"Socrates Brito","12944",
"Patrick Wisdom 위즈덤","Tigers (KBO)","—",486,0.106995884,0.292181069,0.366197183,0.235849056,0.320987654,0.535377358,0.856365012,0.299528302,3.917747754618488,0.256916996,0.20776524487882853,74.47809586071547,15.346769036288817,0.3759480195104583,125.95370315612331,"Patrick Wisdom","13602",
"Preston Tucker 터커","Tigers (KBO)","—",539,0.113172541,0.122448979,0.924242424,0.237179487,0.333951762,0.35042735,0.684379112,0.113247863,1.28319455875,0.258227848,-0.1772463956149295,59.36763107653918,-6.843202383553361,0.3279635468601737,89.66452765214324,"Preston Tucker","13633",
"Yasiel Puig 푸이그","- - -","—",719,0.09735744,0.19193324,0.507246376,0.260731319,0.347705146,0.440381558,0.788086704,0.179650239,2.604585724513546,0.292735042,-0.5242249385919422,101.35627248092848,16.671274221980163,0.36240937508912474,120.19107423620383,"Yasiel Puig","14225",
"Anthony Alford 알포드","- - -","—",870,0.091954022,0.264367816,0.347826086,0.288113695,0.358620689,0.475452196,0.834072885,0.187338501,5.573949789357423,0.371647509,2.1240999528672546,133.58889270730361,31.522105717733957,0.3812904058510382,130.91474371307748,"Anthony Alford","14329",
"Jake Cave 케이브","Bears (KBO)","—",593,0.072512647,0.195615514,0.370689655,0.299256505,0.350758853,0.462825278,0.813584131,0.163568773,6.213794850922424,0.350241545,2.3410486676730216,86.67575416147822,14.525801883937064,0.3670457210895178,120.13279486043216,"Jake Cave","14477",
"Victor Reyes 레이예스","- - -","—",1542,0.083657587,0.116731517,0.716666666,0.338628158,0.391699092,0.495306859,0.887005951,0.156678701,3.3640017610247575,0.36302521,0.21431403351016343,261.64765110150796,64.25631942883948,0.3939069560158394,132.51570305927763,"Victor Reyes","15487",
