Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2024,"Seung-wook Park 박승욱","Giants (KBO)",31,139,405,468,106,79,19,1,7,57,53,47,3,120,10,3,3,7,4,5,0.261728395,"Seung-wook Park","sa3012327",
2025,"Seung-wook Park 박승욱","Giants (KBO)",32,54,84,92,16,13,3,0,0,10,5,5,0,30,1,0,2,0,1,1,0.19047619,"Seung-wook Park","sa3012327",
2026,"Seung-wook Park 박승욱","Giants (KBO)",33,65,109,119,28,22,5,0,1,11,16,7,0,35,1,0,2,2,1,0,0.256880733,"Seung-wook Park","sa3012327",
2023,"Min-sik Kim 김민식","Landers (KBO)",34,122,266,318,58,43,9,1,5,28,34,31,1,57,2,2,17,6,0,0,0.218045112,"Min-sik Kim","sa3012328",
2024,"Min-sik Kim 김민식","Landers (KBO)",35,45,106,126,22,16,5,0,1,10,10,16,0,33,0,0,4,2,0,0,0.207547169,"Min-sik Kim","sa3012328",
2024,"Hang Choi 최항","Giants (KBO)",30,72,132,143,33,29,3,1,0,17,12,10,0,32,1,0,0,3,0,1,0.25,"Hang Choi","sa3012332",
2023,"Yoo-seom Han 한유섬","Landers (KBO)",33,109,333,388,91,67,15,2,7,29,55,34,1,81,12,7,2,3,2,1,0.273273273,"Yoo-seom Han","sa3012336",
2024,"Yoo-seom Han 한유섬","Landers (KBO)",34,132,464,523,109,56,29,0,24,64,87,46,3,142,9,3,1,2,0,1,0.234913793,"Yoo-seom Han","sa3012336",
2025,"Yoo-seom Han 한유섬","Landers (KBO)",35,128,455,511,124,85,24,0,15,50,71,46,3,120,7,2,1,6,1,0,0.272527472,"Yoo-seom Han","sa3012336",
2026,"Yoo-seom Han 한유섬","Landers (KBO)",36,35,95,116,16,15,1,0,0,8,3,18,1,30,2,1,0,6,1,0,0.168421052,"Yoo-seom Han","sa3012336",
2023,"Min-woo Park 박민우","Dinos (KBO)",30,124,452,509,143,114,20,7,2,76,46,40,3,57,9,3,5,13,26,6,0.316371681,"Min-woo Park","sa3012337",
2024,"Min-woo Park 박민우","Dinos (KBO)",31,121,457,528,150,114,26,2,8,75,50,54,4,79,9,4,4,5,32,7,0.328227571,"Min-woo Park","sa3012337",
2025,"Min-woo Park 박민우","Dinos (KBO)",32,117,404,468,122,86,25,8,3,64,67,44,5,64,12,4,4,5,28,8,0.301980198,"Min-woo Park","sa3012337",
2026,"Min-woo Park 박민우","Dinos (KBO)",33,78,273,329,92,69,18,0,5,48,48,46,2,37,6,3,1,7,26,9,0.336996336,"Min-woo Park","sa3012337",
2023,"Jin-sung Kang 강진성","Landers (KBO)",29,54,130,141,34,24,6,1,3,10,17,6,0,20,3,1,1,2,0,0,0.261538461,"Jin-sung Kang","sa3012344",
2023,"Jin-hyuk No 노진혁","Giants (KBO)",33,113,334,390,86,55,26,1,4,43,51,45,1,84,3,4,4,3,7,1,0.257485029,"Jin-hyuk No","sa3012348",
2024,"Jin-hyuk No 노진혁","Giants (KBO)",34,73,137,157,30,22,6,0,2,13,13,15,1,39,1,2,2,1,0,0,0.218978102,"Jin-hyuk No","sa3012348",
2026,"Jin-hyuk No 노진혁","Giants (KBO)",36,59,147,171,32,18,9,0,5,11,19,18,0,32,2,3,1,4,0,0,0.217687074,"Jin-hyuk No","sa3012348",
2025,"Seong-uk Kim 김성욱","Landers (KBO)",32,47,110,119,23,15,6,0,2,10,13,7,0,29,1,0,1,2,1,1,0.209090909,"Seong-uk Kim","sa3012349",
2026,"Seong-uk Kim 김성욱","Landers (KBO)",33,58,108,130,31,23,4,0,4,20,13,17,0,24,3,1,1,1,3,0,0.287037037,"Seong-uk Kim","sa3012349",
2023,"Seong-uk Kim 김성욱","Dinos (KBO)",30,93,179,204,40,24,10,0,6,28,16,16,0,63,5,1,3,7,6,1,0.223463687,"Seong-uk Kim","sa3012349",
2024,"Seong-uk Kim 김성욱","Dinos (KBO)",31,129,358,412,73,46,8,2,17,55,60,31,0,79,15,5,3,7,10,4,0.203910614,"Seong-uk Kim","sa3012349",
2023,"Sung-bum Na 나성범","Tigers (KBO)",33,58,222,253,81,50,12,1,18,51,57,26,0,36,1,4,0,1,0,0,0.364864864,"Sung-bum Na","sa3012352",
2024,"Sung-bum Na 나성범","Tigers (KBO)",34,102,374,424,109,70,17,1,21,51,80,38,1,98,4,7,0,8,0,0,0.29144385,"Sung-bum Na","sa3012352",
2025,"Sung-bum Na 나성범","Tigers (KBO)",35,82,261,310,70,44,16,0,10,30,36,42,1,79,6,1,0,6,0,0,0.268199233,"Sung-bum Na","sa3012352",
2026,"Sung-bum Na 나성범","Tigers (KBO)",36,82,288,331,85,51,17,0,17,47,49,36,0,87,5,2,0,5,0,0,0.295138888,"Sung-bum Na","sa3012352",
2023,"Seung-ho Kang 강승호","Bears (KBO)",29,127,419,459,111,80,18,6,7,51,59,27,0,110,6,3,4,12,14,6,0.264916467,"Seung-ho Kang","sa3012361",
2024,"Seung-ho Kang 강승호","Bears (KBO)",30,140,521,566,146,87,34,7,18,81,81,32,4,158,7,4,2,8,16,5,0.280230326,"Seung-ho Kang","sa3012361",
2025,"Seung-ho Kang 강승호","Bears (KBO)",31,115,360,400,85,55,19,3,8,51,37,24,2,113,11,3,2,7,14,3,0.236111111,"Seung-ho Kang","sa3012361",
2026,"Seung-ho Kang 강승호","Bears (KBO)",32,58,149,169,38,24,8,0,6,24,25,9,0,44,5,5,1,5,3,0,0.255033557,"Seung-ho Kang","sa3012361",
2023,"Seung-hyun Jang 장승현","Bears (KBO)",29,76,139,158,22,18,1,0,3,11,9,6,0,36,8,0,5,2,1,0,0.158273381,"Seung-hyun Jang","sa3012365",
2023,"In-tae Kim 김인태","Bears (KBO)",28,47,98,115,25,19,5,0,1,8,14,15,0,26,1,0,1,2,2,1,0.25510204,"In-tae Kim","sa3012367",
2025,"In-tae Kim 김인태","Bears (KBO)",30,106,183,225,39,25,10,1,3,17,25,36,0,57,5,1,0,2,0,1,0.213114754,"In-tae Kim","sa3012367",
2023,"Woo-sung Lee 이우성","Tigers (KBO)",28,126,355,400,107,82,17,0,8,39,58,31,4,81,5,3,6,10,8,1,0.30140845,"Woo-sung Lee","sa3012368",
2024,"Woo-sung Lee 이우성","Tigers (KBO)",29,112,399,449,115,89,16,1,9,56,54,44,0,89,3,3,0,17,7,1,0.288220551,"Woo-sung Lee","sa3012368",
2025,"Woo-sung Lee 이우성","Tigers (KBO)",30,56,155,176,34,21,10,1,2,11,15,18,0,37,2,1,0,4,0,0,0.219354838,"Woo-sung Lee","sa3012368",
2025,"Woo-sung Lee 이우성","Dinos (KBO)",30,49,145,161,41,28,12,0,1,17,18,13,0,29,0,2,1,4,2,1,0.28275862,"Woo-sung Lee","sa3012368",
2026,"Woo-sung Lee 이우성","Dinos (KBO)",31,78,283,304,94,73,15,0,6,32,35,18,0,44,1,1,1,10,4,1,0.332155477,"Woo-sung Lee","sa3012368",
2023,"Soo-kwang Ro 노수광","Eagles (KBO)",32,30,77,94,17,12,5,0,0,6,4,13,0,27,0,2,2,3,2,1,0.22077922,"Soo-kwang Ro","sa3012395",
2023,"Seung-taek Han 한승택","Tigers (KBO)",29,49,85,104,11,9,2,0,0,6,3,11,0,32,2,0,6,1,0,0,0.129411764,"Seung-taek Han","sa3012396",
2026,"Seung-taek Han 한승택","Wiz (KBO)",32,70,162,197,35,27,7,0,1,20,17,19,0,45,2,2,12,1,0,0,0.216049382,"Seung-taek Han","sa3012396",
2023,"Hyeong-jun Yoon 윤형준","Dinos (KBO)",29,82,218,236,55,37,12,1,5,17,27,10,0,58,3,3,2,6,1,1,0.252293577,"Hyeong-jun Yoon","sa3012405",
2023,"Jun-wan Kim 김준완","Heroes (KBO)",32,76,189,225,42,35,7,0,0,25,14,26,0,57,1,3,6,2,0,0,0.222222222,"Jun-wan Kim","sa3012408",
2023,"Hui-dong Kwon 권희동","Dinos (KBO)",32,96,309,373,88,65,16,0,7,33,63,49,0,50,6,5,4,4,3,0,0.284789644,"Hui-dong Kwon","sa3012415",
2024,"Hui-dong Kwon 권희동","Dinos (KBO)",33,123,416,511,125,89,22,1,13,66,77,77,1,63,10,6,2,10,4,0,0.300480769,"Hui-dong Kwon","sa3012415",
2025,"Hui-dong Kwon 권희동","Dinos (KBO)",34,136,358,456,88,58,24,0,6,56,39,77,0,80,11,2,8,10,5,5,0.245810055,"Hui-dong Kwon","sa3012415",
2026,"Hui-dong Kwon 권희동","Dinos (KBO)",35,45,118,140,31,23,5,0,3,23,18,20,0,24,1,0,1,1,1,1,0.262711864,"Hui-dong Kwon","sa3012415",
2023,"Min-hyuck Kim 김민혁","Wiz (KBO)",27,113,397,448,118,92,20,3,3,68,41,36,0,48,3,5,7,4,11,4,0.297229219,"Min-hyuck Kim","sa3012419",
2024,"Min-hyuck Kim 김민혁","Wiz (KBO)",28,115,351,393,124,106,14,3,1,47,34,35,1,45,1,3,3,9,4,2,0.353276353,"Min-hyuck Kim","sa3012419",
2025,"Min-hyuck Kim 김민혁","Wiz (KBO)",29,106,380,417,109,95,12,2,0,52,35,25,1,41,7,1,4,12,11,3,0.286842105,"Min-hyuck Kim","sa3012419",
2026,"Min-hyuck Kim 김민혁","Wiz (KBO)",30,62,226,252,71,65,5,0,1,31,25,17,0,36,4,1,4,5,1,1,0.314159292,"Min-hyuck Kim","sa3012419",
2025,"Woo-jun Shim 심우준","Eagles (KBO)",30,94,247,275,57,45,9,1,2,39,22,17,0,49,3,1,7,4,11,1,0.23076923,"Woo-jun Shim","sa3012420",
2026,"Woo-jun Shim 심우준","Eagles (KBO)",31,74,225,261,60,50,7,0,3,39,24,27,0,45,3,1,5,1,15,1,0.266666666,"Woo-jun Shim","sa3012420",
2024,"Woo-jun Shim 심우준","Wiz (KBO)",29,53,169,192,45,38,4,0,3,22,28,17,0,29,1,0,5,3,7,1,0.266272189,"Woo-jun Shim","sa3012420",
2023,"Sang-chul Moon 문상철","Wiz (KBO)",32,112,304,330,79,50,20,0,9,30,46,16,1,81,3,6,1,4,3,1,0.259868421,"Sang-chul Moon","sa3012421",
2024,"Sang-chul Moon 문상철","Wiz (KBO)",33,125,347,403,89,61,11,0,17,50,58,45,2,86,7,3,1,8,6,1,0.256484149,"Sang-chul Moon","sa3012421",
2025,"Sang-chul Moon 문상철","Wiz (KBO)",34,79,173,209,37,25,6,1,5,22,20,25,0,44,5,3,3,3,1,1,0.213872832,"Sang-chul Moon","sa3012421",
2023,"Joong-yeol Ahn 안중열","Dinos (KBO)",27,77,154,177,30,20,6,0,4,15,17,16,0,45,2,2,3,6,0,0,0.194805194,"Joong-yeol Ahn","sa3012428",
2026,"Joong-yeol Ahn 안중열","Dinos (KBO)",30,41,79,92,20,14,5,0,1,13,10,8,0,20,2,1,2,5,1,0,0.253164556,"Joong-yeol Ahn","sa3012428",
2023,"Jun-won Jang 장준원","Wiz (KBO)",27,69,87,104,15,11,2,1,1,10,10,12,0,25,1,1,3,1,3,0,0.172413793,"Jun-won Jang","sa3012436",
2025,"Jun-won Jang 장준원","Wiz (KBO)",29,73,140,154,29,25,3,0,1,10,11,8,0,27,0,1,5,5,0,0,0.207142857,"Jun-won Jang","sa3012436",
2023,"Suk-hwan Yang 양석환","Bears (KBO)",31,140,524,582,146,97,28,0,21,73,89,41,3,133,6,11,0,9,4,0,0.278625954,"Suk-hwan Yang","sa3012438",
2024,"Suk-hwan Yang 양석환","Bears (KBO)",32,142,533,593,131,71,25,1,34,83,107,49,1,128,7,3,1,15,5,3,0.245778611,"Suk-hwan Yang","sa3012438",
2025,"Suk-hwan Yang 양석환","Bears (KBO)",33,72,262,294,65,41,16,0,8,32,31,24,1,82,5,3,0,6,1,0,0.248091603,"Suk-hwan Yang","sa3012438",
2026,"Suk-hwan Yang 양석환","Bears (KBO)",34,31,100,113,20,15,4,0,1,6,7,8,1,33,0,5,0,2,0,0,0.2,"Suk-hwan Yang","sa3012438",
2023,"Jung-dae Bae 배정대","Wiz (KBO)",27,97,311,361,86,68,16,0,2,48,38,38,1,76,3,5,4,2,13,3,0.276527331,"Jung-dae Bae","sa3012441",
2024,"Jung-dae Bae 배정대","Wiz (KBO)",28,113,404,473,111,78,25,1,7,49,59,50,1,114,4,7,8,5,9,7,0.274752475,"Jung-dae Bae","sa3012441",
2025,"Jung-dae Bae 배정대","Wiz (KBO)",29,99,240,276,49,34,11,2,2,25,28,19,0,65,7,3,7,4,6,3,0.204166666,"Jung-dae Bae","sa3012441",
2026,"Jung-dae Bae 배정대","Wiz (KBO)",30,58,86,93,20,13,6,1,0,16,11,4,0,25,2,0,1,2,2,1,0.232558139,"Jung-dae Bae","sa3012441",
2023,"Ji-yeol Im 임지열","Heroes (KBO)",27,71,211,245,54,41,8,0,5,22,35,28,0,64,3,1,2,4,1,0,0.25592417,"Ji-yeol Im","sa3012449",
2025,"Ji-yeol Im 임지열","Heroes (KBO)",29,102,369,417,90,63,14,2,11,51,50,42,0,111,2,3,1,11,13,6,0.243902439,"Ji-yeol Im","sa3012449",
2023,"Byeong-wuk Lim 임병욱","Heroes (KBO)",27,79,205,220,53,36,10,1,6,30,36,10,0,74,1,3,1,0,4,0,0.258536585,"Byeong-wuk Lim","sa3012450",
2024,"Byeong-wuk Lim 임병욱","Heroes (KBO)",28,42,87,92,21,15,3,0,3,14,10,4,0,32,0,1,0,1,1,0,0.24137931,"Byeong-wuk Lim","sa3012450",
2025,"Byeong-wuk Lim 임병욱","Heroes (KBO)",29,52,133,140,31,22,4,3,2,12,13,5,0,33,0,1,1,3,1,0,0.233082706,"Byeong-wuk Lim","sa3012450",
2026,"Byeong-wuk Lim 임병욱","Heroes (KBO)",30,53,170,187,41,23,12,0,6,20,21,10,0,63,4,2,1,2,3,0,0.24117647,"Byeong-wuk Lim","sa3012450",
2023,"Ho-jae Kim 김호재","Lions (KBO)",28,75,116,127,25,18,7,0,0,6,9,6,0,17,0,0,5,4,2,0,0.215517241,"Ho-jae Kim","sa3012454",
2023,"Gye-beom Park 박계범","Bears (KBO)",27,78,169,194,37,29,6,0,2,18,15,15,1,44,2,3,5,4,2,2,0.218934911,"Gye-beom Park","sa3012458",
2025,"Gye-beom Park 박계범","Bears (KBO)",29,94,175,198,46,34,9,2,1,23,27,14,0,45,1,1,7,4,3,1,0.262857142,"Gye-beom Park","sa3012458",
2023,"Yoon-suk Oh 오윤석","Wiz (KBO)",31,82,199,223,50,32,13,1,4,24,17,13,1,44,5,0,6,7,3,1,0.251256281,"Yoon-suk Oh","sa3012464",
2024,"Yoon-suk Oh 오윤석","Wiz (KBO)",32,73,174,201,51,31,12,2,6,33,27,18,0,41,4,2,3,7,0,1,0.293103448,"Yoon-suk Oh","sa3012464",
2025,"Yoon-suk Oh 오윤석","Wiz (KBO)",33,77,156,184,40,31,8,1,0,30,19,12,0,41,7,1,8,4,0,0,0.256410256,"Yoon-suk Oh","sa3012464",
2026,"Yoon-suk Oh 오윤석","Wiz (KBO)",34,59,129,142,37,31,6,0,0,21,16,11,1,33,0,1,1,5,0,1,0.286821705,"Yoon-suk Oh","sa3012464",
2023,"Chang-jin Lee 이창진","Tigers (KBO)",32,104,244,284,66,48,11,3,4,35,29,34,1,44,2,2,2,5,9,2,0.270491803,"Chang-jin Lee","sa3012466",
2024,"Chang-jin Lee 이창진","Tigers (KBO)",33,103,191,247,50,39,10,0,1,36,18,45,0,36,2,4,5,6,4,3,0.261780104,"Chang-jin Lee","sa3012466",
2025,"Chang-jin Lee 이창진","Tigers (KBO)",34,37,93,113,15,11,3,0,1,11,9,16,0,22,2,1,1,2,0,2,0.161290322,"Chang-jin Lee","sa3012466",
2023,"Han-wool Kang 강한울","Lions (KBO)",31,72,212,240,46,37,7,2,0,30,10,20,1,54,0,2,6,4,1,3,0.216981132,"Han-wool Kang","sa3012471",
2026,"Chan-ho Park 박찬호","Bears (KBO)",31,87,320,368,90,66,18,2,4,56,33,36,1,50,2,3,7,6,20,4,0.28125,"Chan-ho Park","sa3012474",
2023,"Chan-ho Park 박찬호","Tigers (KBO)",28,130,452,507,136,111,18,4,3,73,52,40,0,56,2,6,7,13,30,8,0.300884955,"Chan-ho Park","sa3012474",
2024,"Chan-ho Park 박찬호","Tigers (KBO)",29,134,515,577,158,128,24,1,5,86,61,48,1,44,1,6,7,9,20,13,0.306796116,"Chan-ho Park","sa3012474",
2025,"Chan-ho Park 박찬호","Tigers (KBO)",30,134,516,595,148,123,18,2,5,75,42,62,0,69,3,6,8,7,27,6,0.286821705,"Chan-ho Park","sa3012474",
2023,"Yong-ho Cho 조용호","Wiz (KBO)",33,63,161,184,40,38,2,0,0,20,7,23,0,25,0,0,0,3,4,0,0.248447204,"Yong-ho Cho","sa3012491",
2024,"Yong-ho Cho 조용호","Wiz (KBO)",34,60,149,165,37,32,5,0,0,17,13,13,0,25,0,0,3,5,5,1,0.248322147,"Yong-ho Cho","sa3012491",
2023,"Tae-jin Kim 김태진","Heroes (KBO)",27,73,198,210,55,50,5,0,0,17,16,5,0,23,1,3,3,1,0,0,0.277777777,"Tae-jin Kim","sa3012499",
2024,"Tae-jin Kim 김태진","Heroes (KBO)",28,81,189,202,42,33,6,3,0,26,10,7,1,27,0,1,5,1,0,0,0.222222222,"Tae-jin Kim","sa3012499",
2025,"Tae-jin Kim 김태진","Heroes (KBO)",29,94,279,304,65,47,11,2,5,27,25,20,1,53,0,3,2,6,1,1,0.23297491,"Tae-jin Kim","sa3012499",
2025,"Tae-hoon Kim 김태훈","Lions (KBO)",29,51,93,98,22,19,1,0,2,4,8,3,0,24,0,0,2,0,1,0,0.236559139,"Tae-hoon Kim","sa3012501",
2023,"Jae-seong Kim 김재성","Lions (KBO)",27,57,99,125,19,15,3,0,1,7,7,19,1,31,5,0,2,4,0,1,0.191919191,"Jae-seong Kim","sa3012516",
2023,"Min-jae Shin 신민재","Twins (KBO)",27,121,282,331,78,71,5,2,0,47,28,29,0,34,1,2,17,5,35,17,0.276595744,"Min-jae Shin","sa3012520",
2024,"Min-jae Shin 신민재","Twins (KBO)",28,128,387,474,115,98,11,6,0,78,40,64,1,47,5,3,15,7,32,11,0.297157622,"Min-jae Shin","sa3012520",
2025,"Min-jae Shin 신민재","Twins (KBO)",29,135,463,538,145,122,15,7,1,87,61,62,0,57,3,4,6,7,15,9,0.313174946,"Min-jae Shin","sa3012520",
2026,"Min-jae Shin 신민재","Twins (KBO)",30,84,242,282,60,57,3,0,0,29,16,31,0,37,2,2,5,5,10,2,0.247933884,"Min-jae Shin","sa3012520",
2023,"Dae-in Hwang 황대인","Tigers (KBO)",27,60,174,199,37,27,5,0,5,19,26,18,2,50,4,3,0,6,0,0,0.212643678,"Dae-in Hwang","sa3012545",
2023,"Ho-ryung Kim 김호령","Tigers (KBO)",31,76,95,107,17,10,7,0,0,16,6,8,0,38,1,0,3,1,1,0,0.178947368,"Ho-ryung Kim","sa3012550",
2025,"Ho-ryung Kim 김호령","Tigers (KBO)",33,105,332,381,94,59,26,3,6,46,39,34,0,94,6,1,8,4,12,1,0.28313253,"Ho-ryung Kim","sa3012550",
2026,"Ho-ryung Kim 김호령","Tigers (KBO)",34,85,330,363,93,59,22,1,11,50,46,20,1,95,3,5,5,5,9,4,0.281818181,"Ho-ryung Kim","sa3012550",
2023,"Do-yun Lee 이도윤","Eagles (KBO)",26,106,309,346,78,62,13,2,1,36,13,18,1,55,4,0,15,6,10,3,0.252427184,"Do-yun Lee","sa3012554",
2024,"Do-yun Lee 이도윤","Eagles (KBO)",27,134,336,374,93,79,10,3,1,49,46,26,0,56,3,3,6,5,6,4,0.276785714,"Do-yun Lee","sa3012554",
2025,"Do-yun Lee 이도윤","Eagles (KBO)",28,113,250,277,65,50,11,3,1,37,36,11,1,52,3,3,10,5,1,0,0.26,"Do-yun Lee","sa3012554",
2026,"Do-yun Lee 이도윤","Eagles (KBO)",29,72,231,250,62,47,12,2,1,26,29,11,1,38,2,3,3,1,2,1,0.268398268,"Do-yun Lee","sa3012554",
2026,"Woong-bin Kim 김웅빈","Heroes (KBO)",30,47,140,157,33,24,5,1,3,11,11,14,0,37,3,0,0,0,0,0,0.235714285,"Woong-bin Kim","sa3012561",
2023,"Chang-ki Hong 홍창기","Twins (KBO)",29,140,522,638,174,137,34,2,1,109,65,85,3,82,22,6,3,6,23,22,0.333333333,"Chang-ki Hong","sa3012570",
2024,"Chang-ki Hong 홍창기","Twins (KBO)",30,139,524,637,176,150,18,3,5,96,73,96,3,93,12,4,1,8,10,11,0.335877862,"Chang-ki Hong","sa3012570",
2025,"Chang-ki Hong 홍창기","Twins (KBO)",31,51,174,215,50,45,4,0,1,32,16,29,0,40,6,4,2,4,3,0,0.287356321,"Chang-ki Hong","sa3012570",
2026,"Chang-ki Hong 홍창기","Twins (KBO)",32,78,263,329,68,55,11,2,0,48,24,52,0,74,10,2,2,9,3,2,0.258555133,"Chang-ki Hong","sa3012570",
2024,"Ki-yeon Kim 김기연","Bears (KBO)",26,95,252,283,70,55,10,0,5,31,31,22,0,47,2,3,4,5,0,2,0.277777777,"Ki-yeon Kim","sa3012571",
2025,"Ki-yeon Kim 김기연","Bears (KBO)",27,100,219,245,54,43,9,0,2,19,24,19,0,44,1,2,4,8,1,0,0.246575342,"Ki-yeon Kim","sa3012571",
2023,"Soo-haeng Jo 조수행","Bears (KBO)",29,126,219,249,48,44,2,1,1,41,17,23,0,38,2,1,4,2,26,6,0.219178082,"Soo-haeng Jo","sa3012578",
2024,"Soo-haeng Jo 조수행","Bears (KBO)",30,130,328,382,87,80,5,2,0,60,30,33,1,53,3,4,14,2,64,8,0.265243902,"Soo-haeng Jo","sa3012578",
2025,"Soo-haeng Jo 조수행","Bears (KBO)",31,108,119,140,29,25,4,0,0,30,9,14,0,29,0,0,7,1,30,7,0.243697478,"Soo-haeng Jo","sa3012578",
2026,"Soo-haeng Jo 조수행","Bears (KBO)",32,67,66,80,19,16,2,1,0,12,9,7,0,8,0,0,7,1,8,2,0.287878787,"Soo-haeng Jo","sa3012578",
2023,"Ju-hyeong An 안주형","Lions (KBO)",29,53,79,91,19,16,2,0,1,12,10,10,0,20,0,1,1,3,0,0,0.240506329,"Ju-hyeong An","sa3012586",
2024,"Ju-hyeong An 안주형","Lions (KBO)",30,82,142,166,31,29,2,0,0,24,8,11,0,39,1,0,12,3,4,2,0.218309859,"Ju-hyeong An","sa3012586",
2023,"Sung-gyu Lee 이성규","Lions (KBO)",29,109,145,162,30,18,10,1,1,23,18,8,0,42,3,2,4,4,4,3,0.206896551,"Sung-gyu Lee","sa3012587",
2024,"Sung-gyu Lee 이성규","Lions (KBO)",30,122,302,355,73,40,10,1,22,56,57,31,0,109,15,3,4,5,9,2,0.241721854,"Sung-gyu Lee","sa3012587",
2025,"Sung-gyu Lee 이성규","Lions (KBO)",31,68,126,154,25,13,5,1,6,17,21,15,0,52,10,2,1,3,2,2,0.198412698,"Sung-gyu Lee","sa3012587",
2023,"Won-jun Choi 최원준","Tigers (KBO)",26,67,238,274,60,46,11,2,1,37,23,31,0,39,0,0,5,5,13,5,0.25210084,"Won-jun Choi","sa3012595",
2024,"Won-jun Choi 최원준","Tigers (KBO)",27,136,438,508,128,93,23,3,9,75,56,50,0,66,8,5,7,5,21,9,0.292237442,"Won-jun Choi","sa3012595",
2025,"Won-jun Choi 최원준","Tigers (KBO)",28,76,227,245,52,41,7,0,4,28,19,15,0,43,2,1,0,2,9,1,0.229074889,"Won-jun Choi","sa3012595",
2025,"Won-jun Choi 최원준","Dinos (KBO)",28,50,186,204,48,37,6,3,2,34,25,8,0,28,4,4,2,3,17,7,0.258064516,"Won-jun Choi","sa3012595",
2026,"Won-jun Choi 최원준","Wiz (KBO)",29,79,320,373,116,86,20,3,7,68,44,41,0,54,6,3,3,2,16,8,0.3625,"Won-jun Choi","sa3012595",
2023,"Jin-young Lee 이진영","Eagles (KBO)",25,121,358,422,89,57,22,0,10,57,50,53,0,127,2,5,4,4,5,0,0.248603351,"Jin-young Lee","sa3012598",
2024,"Jin-young Lee 이진영","Eagles (KBO)",26,42,93,103,19,12,6,0,1,20,13,8,0,27,2,0,0,3,0,1,0.204301075,"Jin-young Lee","sa3012598",
2025,"Jin-young Lee 이진영","Eagles (KBO)",27,115,321,366,88,64,13,0,11,49,43,38,0,93,2,5,0,8,1,4,0.274143302,"Jin-young Lee","sa3012598",
2026,"Jin-young Lee 이진영","Eagles (KBO)",28,39,79,92,18,14,2,0,2,10,12,10,0,28,2,1,0,1,2,0,0.227848101,"Jin-young Lee","sa3012598",
2023,"Beom-soo Shin 신범수","Tigers (KBO)",25,36,88,100,15,10,3,0,2,7,10,7,0,19,2,1,2,3,0,0,0.170454545,"Beom-soo Shin","sa3012601",
2023,"Tae-yean Kim 김태연","Eagles (KBO)",26,91,245,280,64,47,13,0,4,25,25,27,1,59,3,4,1,3,5,1,0.261224489,"Tae-yean Kim","sa3012603",
2024,"Tae-yean Kim 김태연","Eagles (KBO)",27,126,413,472,120,84,24,0,12,59,61,45,0,89,4,4,6,9,5,2,0.2905569,"Tae-yean Kim","sa3012603",
2025,"Tae-yean Kim 김태연","Eagles (KBO)",28,120,303,340,79,61,15,0,3,40,20,23,0,62,8,0,6,10,5,3,0.260726072,"Tae-yean Kim","sa3012603",
2026,"Tae-yean Kim 김태연","Eagles (KBO)",29,72,210,250,63,45,11,2,5,34,18,21,0,43,5,1,13,3,2,1,0.3,"Tae-yean Kim","sa3012603",
2023,"Jin-hyuk Jang 장진혁","Eagles (KBO)",29,68,162,178,36,30,5,1,0,24,12,15,0,41,0,1,0,3,5,4,0.222222222,"Jin-hyuk Jang","sa3012604",
2024,"Jin-hyuk Jang 장진혁","Eagles (KBO)",30,99,289,327,76,51,16,0,9,56,44,29,0,72,3,1,5,7,14,6,0.262975778,"Jin-hyuk Jang","sa3012604",
2025,"Jin-hyuk Jang 장진혁","Wiz (KBO)",31,86,139,157,29,21,3,1,4,19,19,13,0,46,0,1,4,1,1,0,0.208633093,"Jin-hyuk Jang","sa3012604",
2023,"Sang-un Park 박상언","Eagles (KBO)",26,86,145,161,29,22,4,2,1,13,13,10,0,38,1,2,3,6,1,2,0.2,"Sang-un Park","sa3012605",
2023,"In-hwan Kim 김인환","Eagles (KBO)",29,112,325,365,73,50,16,0,7,34,42,35,2,91,2,3,0,4,1,0,0.224615384,"In-hwan Kim","sa3012607",
2024,"In-hwan Kim 김인환","Eagles (KBO)",30,51,131,143,31,28,2,0,1,11,7,10,0,32,2,0,0,5,0,0,0.236641221,"In-hwan Kim","sa3012607",
2025,"Sang-hyeon Ahn 안상현","Landers (KBO)",28,102,258,289,68,52,8,2,6,38,15,18,0,85,2,2,9,2,17,6,0.263565891,"Sang-hyeon Ahn","sa3012616",
2026,"Sang-hyeon Ahn 안상현","Landers (KBO)",29,47,104,123,30,24,5,0,1,19,10,14,0,24,2,0,3,4,5,3,0.288461538,"Sang-hyeon Ahn","sa3012616",
2023,"Jun-young Park 박준영","Bears (KBO)",25,51,127,138,28,15,7,2,4,16,17,9,1,53,2,0,0,0,2,0,0.22047244,"Jun-young Park","sa3012619",
2024,"Jun-young Park 박준영","Bears (KBO)",26,65,186,212,42,24,9,2,7,25,28,21,0,58,3,1,1,3,2,0,0.225806451,"Jun-young Park","sa3012619",
2025,"Jun-young Park 박준영","Bears (KBO)",27,41,111,126,25,16,8,0,1,9,10,10,0,32,3,1,1,1,3,0,0.225225225,"Jun-young Park","sa3012619",
2023,"Tae-hun Do 도태훈","Dinos (KBO)",30,117,239,302,56,45,6,0,5,41,23,38,1,48,17,1,7,7,2,1,0.234309623,"Tae-hun Do","sa3012620",
