Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2023,"Hyun Soo Kim 김현수","Twins (KBO)",35,132,484,552,142,112,22,2,6,53,88,58,4,53,1,8,1,10,2,1,0.293388429,"Hyun Soo Kim","18718",
2024,"Hyun Soo Kim 김현수","Twins (KBO)",36,137,517,583,152,106,36,2,8,61,69,47,1,76,9,9,1,10,6,1,0.294003868,"Hyun Soo Kim","18718",
2025,"Hyun Soo Kim 김현수","Twins (KBO)",37,140,483,552,144,108,24,0,12,66,90,64,1,73,4,1,0,10,4,0,0.298136645,"Hyun Soo Kim","18718",
2026,"Hyun Soo Kim 김현수","Wiz (KBO)",38,82,335,369,98,70,22,0,6,40,54,31,0,39,1,2,0,11,0,2,0.292537313,"Hyun Soo Kim","18718",
2023,"Guillermo Heredia 에레디아","Landers (KBO)",32,122,474,524,153,112,29,0,12,76,76,39,4,75,9,1,1,13,12,8,0.32278481,"Guillermo Heredia","18721",
2024,"Guillermo Heredia 에레디아","Landers (KBO)",33,136,541,591,195,142,31,1,21,82,118,28,3,73,13,9,0,12,4,3,0.360443622,"Guillermo Heredia","18721",
2025,"Guillermo Heredia 에레디아","Landers (KBO)",34,96,375,415,127,96,18,0,13,46,54,31,4,62,7,2,0,9,1,2,0.338666666,"Guillermo Heredia","18721",
2026,"Guillermo Heredia 에레디아","Landers (KBO)",35,84,333,366,94,64,15,0,15,42,75,22,1,58,7,4,0,8,1,3,0.282282282,"Guillermo Heredia","18721",
2025,"Estevan Florial 플로리얼","Eagles (KBO)",27,65,258,285,70,42,18,2,8,36,29,24,2,65,1,2,0,2,13,3,0.271317829,"Estevan Florial","19151",
2025,"Stone Garrett 스톤 개랫","Heroes (KBO)",29,22,87,93,21,19,0,0,2,4,15,5,0,24,0,1,0,2,0,0,0.24137931,"Stone Garrett","19273",
2023,"Jose Rojas 로하스","Bears (KBO)",30,122,403,464,102,55,24,4,19,52,65,55,2,68,3,3,0,5,0,1,0.253101736,"Jose Rojas","19331",
2023,"Jae-Gyun Hwang 황재균","Wiz (KBO)",35,109,407,457,120,86,26,2,6,62,49,45,1,64,1,1,3,15,3,3,0.294840294,"Jae-Gyun Hwang","19369",
2024,"Jae-Gyun Hwang 황재균","Wiz (KBO)",36,137,493,536,128,93,22,0,13,60,58,34,0,95,2,2,5,16,4,6,0.259634888,"Jae-Gyun Hwang","19369",
2025,"Jae-Gyun Hwang 황재균","Wiz (KBO)",37,112,385,424,106,80,19,0,7,50,48,34,1,84,2,2,1,2,3,1,0.275324675,"Jae-Gyun Hwang","19369",
2026,"Trenton Brooks 브룩스","Heroes (KBO)",30,41,143,161,31,25,6,0,0,11,16,14,0,24,1,3,0,1,1,0,0.216783216,"Trenton Brooks","19384",
2024,"David MacKinnon 맥키넌","Lions (KBO)",29,72,272,315,80,63,13,0,4,28,36,39,3,33,1,3,0,6,1,0,0.294117647,"David MacKinnon","19625",
2023,"Zach Reks 렉스","Giants (KBO)",29,55,203,234,50,40,4,2,4,20,30,28,2,54,1,2,0,3,0,1,0.246305418,"Zach Reks","19667",
2023,"Ronnie Dawson 도슨","Heroes (KBO)",28,57,229,261,77,58,14,2,3,37,29,18,0,41,9,5,0,3,9,2,0.336244541,"Ronnie Dawson","19710",
2024,"Ronnie Dawson 도슨","Heroes (KBO)",29,95,382,429,126,82,31,2,11,69,57,39,0,54,6,2,0,10,2,2,0.329842931,"Ronnie Dawson","19710",
2026,"Keston Hiura 히우라","Heroes (KBO)",29,34,132,151,33,23,4,0,6,18,20,15,0,50,3,1,0,3,0,0,0.25,"Keston Hiura","20003",
2024,"Jared Young 제러드","Bears (KBO)",28,38,144,169,47,20,16,1,10,29,39,21,0,35,3,1,0,0,4,0,0.326388888,"Jared Young","20404",
2023,"Shin-Soo Choo 추신수","Landers (KBO)",40,112,382,462,96,66,17,1,12,65,40,65,1,79,13,2,0,8,6,3,0.2513089,"Shin-Soo Choo","3174",
2024,"Shin-Soo Choo 추신수","Landers (KBO)",41,78,253,302,71,51,14,1,5,40,37,37,0,68,4,6,2,2,5,1,0.280632411,"Shin-Soo Choo","3174",
2023,"Jung Hoo Lee 이정후","Heroes (KBO)",24,86,330,387,105,74,23,2,6,50,45,49,7,23,3,5,0,1,6,3,0.318181818,"Jung Hoo Lee","33824",
2023,"Hyeseong Kim 김혜성","Heroes (KBO)",24,136,552,617,185,143,29,6,7,104,57,57,3,76,3,5,0,6,25,3,0.335144927,"Hyeseong Kim","35322",
2024,"Hyeseong Kim 김혜성","Heroes (KBO)",25,127,509,567,166,125,26,4,11,90,75,47,2,62,4,7,0,6,30,6,0.326129666,"Hyeseong Kim","35322",
2023,"Sung-Mun Song 송성문","Heroes (KBO)",26,104,388,438,102,78,16,3,5,43,60,39,5,38,0,7,4,9,1,0,0.262886597,"Sung-Mun Song","37122",
2024,"Sung-Mun Song 송성문","Heroes (KBO)",27,142,527,602,179,127,29,4,19,88,104,64,2,82,3,8,0,5,21,0,0.339658444,"Sung-Mun Song","37122",
2025,"Sung-Mun Song 송성문","Heroes (KBO)",28,144,574,646,181,114,37,4,26,103,90,68,5,96,1,3,0,6,25,2,0.31533101,"Sung-Mun Song","37122",
2023,"José Pirela 피렐라","Lions (KBO)",33,139,557,605,159,114,28,1,16,66,80,42,5,69,4,2,0,20,6,4,0.285457809,"Jose Pirela","5485",
