Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tae Yang Han 한태양","- - -","—",181,385,444,95,72,19,2,2,73,27,46,0,116,5,0,8,4,13,2,0.246753246,"Tae Yang Han","sa3018255",
"Dong Hee Yoon 윤동희","- - -","—",379,1365,1567,383,267,82,6,28,212,188,158,5,279,21,16,7,36,14,17,0.28058608,"Dong Hee Yoon","sa3018265",
"Ui San Jeon 전의산","- - -","—",175,459,512,101,57,24,1,19,53,74,47,3,148,3,3,0,11,1,3,0.220043572,"Ui San Jeon","sa3019044",
"Hyeong Woo Cho 조형우","- - -","—",231,556,617,126,96,21,1,8,53,62,37,0,121,11,5,8,9,0,0,0.226618705,"Hyeong Woo Cho","sa3019473",
"Jae-hwan Chun 천재환","- - -","—",355,724,801,178,126,30,6,16,104,88,42,0,175,15,8,12,16,26,12,0.245856353,"Jae-hwan Chun","sa3019748",
"Young Woong Kim 김영웅","- - -","—",329,1049,1169,252,148,46,5,53,146,167,103,3,347,5,8,4,10,16,4,0.240228789,"Young Woong Kim","sa3020665",
"Min Suk Kim 김민석","- - -","—",321,879,983,218,163,43,5,7,113,86,67,2,233,12,9,16,14,24,6,0.248009101,"Min Suk Kim","sa3020694",
"Hyun Bin Moon 문현빈","- - -","—",439,1444,1633,421,298,82,10,31,188,219,131,5,248,21,21,16,36,28,13,0.291551246,"Hyun Bin Moon","sa3020698",
"Gun Hee Kim 김건희","- - -","—",259,777,848,190,127,44,2,17,66,91,53,1,251,0,9,9,21,2,1,0.244530244,"Gun Hee Kim","sa3020912",
"Young Mook Hwang 황영묵","- - -","—",274,676,757,192,154,28,6,4,102,71,62,0,108,9,2,7,13,7,11,0.284023668,"Young Mook Hwang","sa3023498",
"Jun Jae Jeong 정준재","- - -","—",278,776,908,215,175,25,13,2,128,71,92,0,173,7,4,29,11,60,17,0.277061855,"Jun Jae Jeong","sa3023563",
"Hyun Min Ahn 안현민","- - -","—",142,472,578,156,101,23,6,26,91,93,89,5,98,13,4,0,5,8,1,0.330508474,"Hyun Min Ahn","sa3023680",
"Joon Seo Eo 어준서","- - -","—",128,367,407,87,71,9,1,6,53,28,33,1,85,3,1,3,10,1,0,0.23705722,"Joon Seo Eo","sa3066885",
"Jun Soon Park 박준순","- - -","—",130,437,465,129,96,18,5,10,52,46,19,1,88,4,3,2,10,11,3,0.295194508,"Jun Soon Park","sa3067161",
"Jae-Hoon Ha 하재훈","- - -","—",280,654,721,164,101,35,2,26,99,92,45,1,204,8,10,4,6,28,4,0.250764525,"Jae-Hoon Ha","sa502535",
"Hak-Ju Lee 이학주","- - -","—",304,592,661,128,90,23,3,12,81,52,47,0,190,6,1,15,8,8,8,0.216216216,"Hak-Ju Lee","sa502536",
"Mel Rojas Jr. 로하스","- - -","—",239,903,1054,267,161,59,1,46,156,155,136,12,186,7,8,0,19,3,2,0.295681063,"Mel Rojas Jr.","sa548194",
"Dong-Yub Kim 김동엽","- - -","—",185,490,535,115,80,24,0,11,52,50,30,1,109,7,8,0,12,3,4,0.234693877,"Dong-Yub Kim","sa598813",
"Ho-young Son 손호영","- - -","—",306,953,1056,257,178,45,6,28,147,150,56,2,181,22,12,13,25,17,9,0.269674711,"Ho-young Son","sa830429",
"Yonathan Perlaza 페라자","- - -","—",182,688,800,202,126,38,1,37,129,110,102,9,180,3,5,2,12,14,8,0.293604651,"Yonathan Perlaza","sa917302",
