Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ji-yeol Im 임지열","- - -","—",275,841,959,200,149,30,2,19,106,108,95,0,261,8,7,8,23,16,8,0.237812128,"Ji-yeol Im","sa3012449",
"Byeong-wuk Lim 임병욱","- - -","—",213,561,603,140,92,28,4,16,73,76,28,0,183,5,6,3,4,8,0,0.249554367,"Byeong-wuk Lim","sa3012450",
"Gye-beom Park 박계범","- - -","—",411,857,998,210,160,36,3,11,117,104,92,2,216,15,9,25,20,14,9,0.24504084,"Gye-beom Park","sa3012458",
"Yoon-suk Oh 오윤석","- - -","—",485,1077,1252,275,190,61,4,20,149,128,113,3,265,24,10,28,36,9,5,0.255338904,"Yoon-suk Oh","sa3012464",
"Chang-jin Lee 이창진","- - -","—",461,1125,1343,287,221,46,4,16,173,137,172,1,220,9,14,23,30,21,12,0.255111111,"Chang-jin Lee","sa3012466",
"Han-wool Kang 강한울","- - -","—",308,683,776,179,151,24,3,1,87,64,69,1,166,0,8,16,11,7,7,0.262079062,"Han-wool Kang","sa3012471",
"Chan-ho Park 박찬호","- - -","—",721,2625,3000,739,594,110,14,21,409,283,292,2,348,9,31,43,56,142,42,0.281523809,"Chan-ho Park","sa3012474",
"Si-wan Ji 지시완","- - -","—",154,348,396,78,52,16,0,10,39,43,34,1,114,7,1,6,12,0,0,0.224137931,"Si-wan Ji","sa3012477",
"Yong-ho Cho 조용호","- - -","—",393,1215,1399,324,277,39,5,3,160,112,160,3,209,6,8,10,19,26,13,0.266666666,"Yong-ho Cho","sa3012491",
"Tae-jin Kim 김태진","- - -","—",431,1312,1418,337,281,39,11,6,152,107,73,3,200,2,12,19,19,10,8,0.256859756,"Tae-jin Kim","sa3012499",
"Jae-seong Kim 김재성","- - -","—",231,408,479,94,70,18,1,5,35,41,51,1,112,10,5,5,11,1,1,0.230392156,"Jae-seong Kim","sa3012516",
"Min-jae Shin 신민재","- - -","—",490,1341,1588,385,336,33,15,1,242,142,185,1,174,10,11,41,22,95,40,0.287099179,"Min-jae Shin","sa3012520",
"Dae-in Hwang 황대인","- - -","—",296,992,1095,238,158,46,1,33,93,173,75,4,219,13,14,1,34,0,0,0.239919354,"Dae-in Hwang","sa3012545",
"Ho-ryung Kim 김호령","- - -","—",422,923,1054,231,155,51,5,20,145,103,89,1,289,16,4,22,14,28,9,0.250270855,"Ho-ryung Kim","sa3012550",
"Do-yun Lee 이도윤","- - -","—",540,1221,1353,308,244,50,10,4,156,123,75,3,234,11,7,39,19,22,11,0.252252252,"Do-yun Lee","sa3012554",
"Woong-bin Kim 김웅빈","- - -","—",217,545,644,119,85,22,2,10,53,65,72,3,175,16,4,7,7,1,2,0.218348623,"Woong-bin Kim","sa3012561",
"Chang-ki Hong 홍창기","- - -","—",647,2371,2906,741,610,107,12,12,449,273,418,10,439,81,23,13,40,76,45,0.31252636,"Chang-ki Hong","sa3012570",
"Ki-yeon Kim 김기연","- - -","—",257,551,618,138,111,20,0,7,58,64,47,0,109,4,6,10,15,2,2,0.25045372,"Ki-yeon Kim","sa3012571",
"Soo-haeng Jo 조수행","- - -","—",641,905,1055,228,202,18,5,3,208,79,102,1,182,9,7,32,11,170,33,0.251933701,"Soo-haeng Jo","sa3012578",
"Sung-gyu Lee 이성규","- - -","—",324,609,722,131,74,25,3,29,107,97,65,0,217,30,7,11,13,15,7,0.215106732,"Sung-gyu Lee","sa3012587",
"Won-jun Choi 최원준","- - -","—",532,1925,2188,557,430,86,16,25,308,204,197,0,284,29,16,21,24,115,39,0.289350649,"Won-jun Choi","sa3012595",
"Jin-young Lee 이진영","- - -","—",398,1100,1257,264,171,57,2,34,171,154,128,0,381,11,14,4,20,11,7,0.24,"Jin-young Lee","sa3012598",
"Tae-yean Kim 김태연","- - -","—",561,1688,1949,463,338,90,2,33,225,208,192,2,387,26,18,25,37,24,13,0.274289099,"Tae-yean Kim","sa3012603",
"Jin-hyuk Jang 장진혁","- - -","—",304,711,799,168,125,26,2,15,112,92,69,0,190,3,6,10,12,22,13,0.236286919,"Jin-hyuk Jang","sa3012604",
"In-hwan Kim 김인환","- - -","—",286,879,963,210,153,32,0,25,95,106,70,4,243,7,7,0,14,3,0,0.238907849,"In-hwan Kim","sa3012607",
"Sang-hyeon Ahn 안상현","- - -","—",320,553,623,136,105,19,2,10,89,35,44,0,161,5,2,19,8,31,11,0.245931283,"Sang-hyeon Ahn","sa3012616",
"Jun-young Park 박준영","- - -","—",343,905,1031,197,127,39,7,24,114,105,94,1,289,19,5,8,19,18,5,0.217679558,"Jun-young Park","sa3012619",
"Tae-hun Do 도태훈","- - -","—",486,722,889,152,117,25,1,9,105,75,95,1,143,42,6,24,24,7,2,0.210526315,"Tae-hun Do","sa3012620",
