Season,Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
2024,"Austin Dean 오스틴","Twins (KBO)",30,604,0.100993377,0.135761589,0.743902439,0.318785578,0.38410596,0.573055028,0.957160988,0.25426945,4.532188877522749,0.319248826,-1.835342595120892,113.3409853174937,31.703688819671903,0.4110524859715465,138.83480979862898,"Austin Dean","18288",
2025,"Austin Dean 오스틴","Twins (KBO)",31,499,0.122244488,0.124248496,0.983870967,0.312941176,0.392785571,0.595294117,0.988079688,0.282352941,3.4735090458616664,0.297376093,0.07168379612267017,97.7172131752543,37.00418419297262,0.4294691359609123,160.9493296797493,"Austin Dean","18288",
2026,"Austin Dean 오스틴","Twins (KBO)",32,378,0.111111111,0.153439153,0.724137931,0.339449541,0.42063492,0.660550458,1.081185378,0.321100917,4.186846250812204,0.342857142,-0.4364072890020907,86.44587492744374,38.53325128356862,0.4689938151900144,180.4240059362612,"Austin Dean","18288",
2026,"Daz Cameron 카메론","Bears (KBO)",29,314,0.095541401,0.168789808,0.566037735,0.286738351,0.359872611,0.473118279,0.83299089,0.186379928,6.36035366205852,0.324200913,1.5045259455218911,48.15577483618666,8.355341438893571,0.3771620819902724,120.99309159648959,"Daz Cameron","18353",
2024,"Lewin Díaz 디아즈","Lions (KBO)",27,118,0.050847457,0.211864406,0.24,0.281818181,0.330508474,0.518181818,0.848690292,0.236363637,0.97619047125,0.307692307,-0.06920979986898601,18.132868867628268,2.1838606114312924,0.3715968036045462,113.69276745206245,"Lewin Diaz","18365",
2025,"Lewin Díaz 디아즈","Lions (KBO)",28,628,0.095541401,0.159235668,0.6,0.313974591,0.380573248,0.644283121,1.024856369,0.33030853,1.620206757750548,0.298543689,-0.38835214311257005,128.88176052465738,52.47337936058344,0.44128435946591077,168.6749000059376,"Lewin Diaz","18365",
2026,"Lewin Díaz 디아즈","Lions (KBO)",29,382,0.120418848,0.157068062,0.766666666,0.295180722,0.379581151,0.5,0.879581151,0.204819278,2.646700532345851,0.316602316,0.018045705743134022,63.97640581218686,15.556770277900366,0.3943691977095793,132.12905282379592,"Lewin Diaz","18365",
2024,"ByungHo Park 박병호","Lions (KBO)",37,285,0.108771929,0.29122807,0.373493975,0.244979919,0.333333333,0.506024096,0.839357429,0.261044177,3.5384733797278036,0.277027027,0.4205671944655478,42.788434731186086,4.267524959862876,0.3674941479114064,111.07846358042102,"ByungHo Park","18497",
2025,"ByungHo Park 박병호","Lions (KBO)",38,232,0.11637931,0.301724137,0.385714285,0.198979591,0.314655172,0.454081632,0.768736804,0.255102041,0.8658963525000001,0.21238938,-0.21212696423754096,30.51998192223886,2.2926818743644066,0.3486771496205494,108.12221455993291,"ByungHo Park","18497",
2023,"ByungHo Park 박병호","Wiz (KBO)",36,493,0.093306288,0.231237322,0.403508771,0.283062645,0.356997971,0.443155452,0.800153423,0.160092807,2.1480595750612403,0.338762214,-0.021752064349129796,70.95059855905424,12.891802451285232,0.3703528613519766,122.20473608745763,"ByungHo Park","18497",
