query_name,Name,group,Season,Age,PA,wRC+,BB%,K%,ISO,Spd
Jason Martin,Jason Martin,MLB_to_KBO,2019,23,40,71.7065774745186,0.1,0.25,0.055555555,5.761167870098712
Jason Martin,Jason Martin,MLB_to_KBO,2020,24,11,-28.876509590334816,0.181818181,0.363636363,0.0,2.64285714
Jason Martin,Jason Martin,MLB_to_KBO,2021,25,154,61.764319686164114,0.051948051,0.266233766,0.145833333,3.51576416143162
Jose Pirela,Jose Pirela,MLB_to_KBO,2015,25,78,47.36582546162912,0.025641025,0.205128205,0.081081081,4.019215674090834
Jose Pirela,Jose Pirela,MLB_to_KBO,2016,26,41,-2.495557653942368,0.024390243,0.219512195,0.051282052,2.7579056937498496
Jose Pirela,Jose Pirela,MLB_to_KBO,2017,27,344,119.8940752999996,0.078488372,0.206395348,0.201923077,4.96932361468315
Jose Pirela,Jose Pirela,MLB_to_KBO,2018,28,473,77.60574730802648,0.063424947,0.188160676,0.095890411,4.567530519551117
Jose Pirela,Jose Pirela,MLB_to_KBO,2019,29,24,59.27096330962138,0.083333333,0.291666666,0.181818182,0.14285714
Jose Rojas,Jose Rojas,MLB_to_KBO,2021,28,184,81.80084434200688,0.081521739,0.27173913,0.19047619,4.182081531527615
Jose Rojas,Jose Rojas,MLB_to_KBO,2022,29,57,-24.17348584539892,0.0,0.333333333,0.035714285,0.4107142775
Lewin Diaz,Lewin Diaz,MLB_to_KBO,2020,23,41,9.292014932850524,0.048780487,0.292682926,0.051282052,1.08035714
Lewin Diaz,Lewin Diaz,MLB_to_KBO,2021,24,128,77.77950026918572,0.046875,0.2578125,0.24590164,3.1917701775
Lewin Diaz,Lewin Diaz,MLB_to_KBO,2022,25,174,40.2660519784818,0.06321839,0.310344827,0.11875,2.4497637862359207
Luis Liberato,Luis Liberato,MLB_to_KBO,2022,26,5,-100.0,0.0,0.6,0.0,0.14285714
Matt Davidson,Matt Davidson,MLB_to_KBO,2016,25,2,182.7768010836792,0.0,0.5,0.0,2.64285714
Matt Davidson,Matt Davidson,MLB_to_KBO,2017,26,443,84.59153623085237,0.04288939,0.372460496,0.231884058,1.826200392166224
Matt Davidson,Matt Davidson,MLB_to_KBO,2018,27,496,103.67659704568224,0.104838709,0.33266129,0.191244239,0.99686477125
Matt Davidson,Matt Davidson,MLB_to_KBO,2020,29,47,57.99955055324388,0.085106382,0.276595744,0.23255814,0.14285714
Matt Davidson,Matt Davidson,MLB_to_KBO,2022,31,37,52.87081840719981,0.081081081,0.351351351,0.176470588,1.8746962683834512
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2018,26,58,142.05397865199535,0.103448275,0.327586206,0.26,5.05915074832097
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2019,27,28,-13.83528515231064,0.035714285,0.535714285,0.038461539,0.76785714
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2020,28,2,-100.0,0.0,0.0,0.0,0.14285714
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2021,29,375,116.96241850596913,0.085333333,0.408,0.286982249,3.451436898739511
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2022,30,534,106.12562044902178,0.099250936,0.342696629,0.219616205,3.657659891535455
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2023,31,302,110.28196995553614,0.099337748,0.367549668,0.29477612,4.485678291176288
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2024,32,174,73.79874616905913,0.057471264,0.339080459,0.221518988,7.309816648836619
Patrick Wisdom,Patrick Wisdom,MLB_to_KBO,2026,34,44,7.682654979829646,0.068181818,0.409090909,0.097560976,1.30357142125
Preston Tucker,Preston Tucker,MLB_to_KBO,2015,24,323,103.72185878949426,0.061919504,0.210526315,0.193333333,1.7404338978786391
Preston Tucker,Preston Tucker,MLB_to_KBO,2016,25,144,47.81867645363669,0.055555555,0.277777777,0.164179104,2.70054944625
Preston Tucker,Preston Tucker,MLB_to_KBO,2018,27,184,87.52941059747944,0.070652173,0.233695652,0.174698795,1.32341269
Ronnie Dawson,Ronnie Dawson,MLB_to_KBO,2021,26,6,64.16718107791769,0.166666666,0.0,0.0,2.64285714
Ronnie Dawson,Ronnie Dawson,MLB_to_KBO,2022,27,3,-100.0,0.0,0.666666666,0.0,0.14285714
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2019,25,87,139.50822157402553,0.103448275,0.264367816,0.376623377,6.768567291069771
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2020,26,114,71.80234024433135,0.078947368,0.368421052,0.228571429,7.097274961415535
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2021,27,238,83.06465686836209,0.096638655,0.365546218,0.247663551,6.577773939869274
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2022,28,200,45.697344205931074,0.115,0.285,0.080459771,6.345037098317309
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2023,29,78,94.06890555764168,0.076923076,0.423076923,0.194444444,6.81474621337484
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2024,30,158,106.09430001475889,0.088607594,0.354430379,0.268115942,6.798465750153596
Sam Hilliard,Sam Hilliard,MLB_to_KBO,2025,31,61,94.9558038428848,0.163934426,0.37704918,0.215686274,6.7166576002278795
Socrates Brito,Socrates Brito,MLB_to_KBO,2015,22,34,105.3688896240845,0.029411764,0.205882352,0.151515151,8.254326360920338
Socrates Brito,Socrates Brito,MLB_to_KBO,2016,23,97,33.988808799341655,0.020618556,0.237113402,0.178947368,7.115398182339035
Socrates Brito,Socrates Brito,MLB_to_KBO,2018,25,44,26.74695171699508,0.068181818,0.204545454,0.075,1.9543650773809524
Socrates Brito,Socrates Brito,MLB_to_KBO,2019,26,43,-22.211101140394803,0.093023255,0.395348837,0.051282052,5.14285714
Victor Reyes,Victor Reyes,MLB_to_KBO,2018,23,219,37.28556902744598,0.02283105,0.210045662,0.066037736,8.242606424698977
Victor Reyes,Victor Reyes,MLB_to_KBO,2019,24,292,101.14534347005684,0.047945205,0.219178082,0.126811594,6.418352216468291
Victor Reyes,Victor Reyes,MLB_to_KBO,2020,25,213,94.36659459671836,0.042253521,0.211267605,0.113861386,6.9854658859371535
Victor Reyes,Victor Reyes,MLB_to_KBO,2021,26,220,87.69972232175445,0.036363636,0.25,0.157894737,7.072027441439655
Victor Reyes,Victor Reyes,MLB_to_KBO,2022,27,336,84.38749465074416,0.038690476,0.229166666,0.107936508,3.731097643544674
Yasiel Puig,Yasiel Puig,MLB_to_KBO,2015,24,311,111.02400846433656,0.083601286,0.212218649,0.180851064,3.88633972158382
Yasiel Puig,Yasiel Puig,MLB_to_KBO,2016,25,368,101.44725036488336,0.065217391,0.201086956,0.152694611,4.782195771010901
Yasiel Puig,Yasiel Puig,MLB_to_KBO,2017,26,570,117.22622155988552,0.112280701,0.175438596,0.224448897,4.377849297581255
Yasiel Puig,Yasiel Puig,MLB_to_KBO,2018,27,444,122.65081269063904,0.081081081,0.195945945,0.227160494,4.810775247122444
Yasiel Puig,Yasiel Puig,MLB_to_KBO,2019,28,611,100.20589108725136,0.072013093,0.217675941,0.190990991,4.949807285211003
Zach Reks,Zach Reks,MLB_to_KBO,2021,27,10,-100.0,0.0,0.7,0.0,0.14285714
Zach Reks,Zach Reks,MLB_to_KBO,2022,28,34,55.713615882108314,0.0,0.294117647,0.029411765,2.7210240119402633
